0.005574745 ORD Chicago Ohare Intl, United States
0.0055683634 LAX Los Angeles Intl, United States
0.0055452022 DEN Denver Intl, United States
0.0043518687 LHR Heathrow, United Kingdom
0.0042748139 ATL Hartsfield Jackson Atlanta Intl, United States
0.0042140943 CDG Charles De Gaulle, France
0.0042020286 PEK Capital Intl, China
0.0042009114 SIN Changi Intl, Singapore
0.0041058399 FRA Frankfurt Main, Germany
0.0039458539 SYD Sydney Intl, Australia
0.0038527512 DFW Dallas Fort Worth Intl, United States
0.0038267848 JFK John F Kennedy Intl, United States
0.0037820845 AMS Schiphol, Netherlands
0.0036859455 DME Domododevo, Russia
0.0035100668 YYZ Lester B Pearson Intl, Canada
0.0034857742 ICN Incheon Intl, South Korea
0.0034832436 DXB Dubai Intl, United Arab Emirates
0.0032943665 PVG Pudong, China
0.0032644009 IST Ataturk, Turkey
0.0032548748 BCN Barcelona, Spain
0.003128625 HKG Hong Kong Intl, Hong Kong
0.002992229 BOG Eldorado Intl, Colombia
0.0029660046 BKK Suvarnabhumi Intl, Thailand
0.0029281028 MIA Miami Intl, United States
0.0029122605 MEX Licenciado Benito Juarez Intl, Mexico
0.0029012206 FCO Fiumicino, Italy
0.0028551702 BNE Brisbane Intl, Australia
0.0028335915 LGW Gatwick, United Kingdom
0.0028225031 SFO San Francisco Intl, United States
0.002803614 MUC Franz Josef Strauss, Germany
0.0027924232 IAH George Bush Intercontinental, United States
0.0027734336 KUL Kuala Lumpur Intl, Malaysia
0.0027613066 MAD Barajas, Spain
0.0027526812 DEL Indira Gandhi Intl, India
0.0027395206 CLT Charlotte Douglas Intl, United States
0.0027366398 SEA Seattle Tacoma Intl, United States
0.002729136 MSP Minneapolis St Paul Intl, United States
0.0026916338 NRT Narita Intl, Japan
0.0026904807 MNL Ninoy Aquino Intl, Philippines
0.0026567978 VIE Schwechat, Austria
0.0026533389 LED Pulkovo, Russia
0.0025331418 CAN Baiyun Intl, China
0.0025155952 LAS Mc Carran Intl, United States
0.0024709479 AEP Aeroparque Jorge Newbery, Argentina
0.0024696801 GRU Guarulhos Gov Andre Franco Montouro, Brazil
0.0024076268 JNB Johannesburg Intl, South Africa
0.0023933755 MAN Manchester, United Kingdom
0.0023680579 PMI Son Sant Joan, Spain
0.0023629333 BOM Chhatrapati Shivaji Intl, India
0.0023589678 EWR Newark Liberty Intl, United States
0.0023560263 BRU Brussels Natl, Belgium
0.0023451717 YVR Vancouver Intl, Canada
0.0023357476 DUS Dusseldorf, Germany
0.0022924256 CGK Soekarno Hatta Intl, Indonesia
0.0022734273 CTU Shuangliu, China
0.0022671241 DTW Detroit Metro Wayne Co, United States
0.0022474018 KMG Wujiaba, China
0.0022371804 MEL Melbourne Intl, Australia
0.0022143992 IAD Washington Dulles Intl, United States
0.0022112885 MCO Orlando Intl, United States
0.0021892175 ANC Ted Stevens Anchorage Intl, United States
0.0021877092 AUH Abu Dhabi Intl, United Arab Emirates
0.0021798057 TPE Taoyuan Intl, Taiwan
0.0021764384 PHL Philadelphia Intl, United States
0.0021764089 CPH Kastrup, Denmark
0.0021709097 AKL Auckland Intl, New Zealand
0.0021612414 PHX Phoenix Sky Harbor Intl, United States
0.0021332193 ZRH Zurich, Switzerland
0.002122204 HND Tokyo Intl, Japan
0.0021097244 BOS General Edward Lawrence Logan Intl, United States
0.0020869424 YUL Pierre Elliott Trudeau Intl, Canada
0.0020751389 SVO Sheremetyevo, Russia
0.0020348058 LIM Jorge Chavez Intl, Peru
0.0020338221 OSL Gardermoen, Norway
0.002004746 FLL Fort Lauderdale Hollywood Intl, United States
0.0019836259 ORY Orly, France
0.0019677704 ARN Arlanda, Sweden
0.0019630297 XIY Xianyang, China
0.0019360644 BET Bethel, United States
0.0018337921 HEL Helsinki Vantaa, Finland
0.0018243584 JED King Abdulaziz Intl, Saudi Arabia
0.0018043694 MXP Malpensa, Italy
0.0017726418 BSB Presidente Juscelino Kubitschek, Brazil
0.0017696822 LIS Lisboa, Portugal
0.0017659726 CKG Jiangbei, China
0.0017308021 NBO Jomo Kenyatta International, Kenya
0.0016876561 ATH Eleftherios Venizelos Intl, Greece
0.0016644641 HGH Xiaoshan, China
0.0016524443 THR Mehrabad Intl, Iran
0.0016467523 HNL Honolulu Intl, United States
0.0016250172 CAI Cairo Intl, Egypt
0.0016244575 DUB Dublin, Ireland
0.0016171349 SZX Baoan Intl, China
0.0016029956 RUH King Khaled Intl, Saudi Arabia
0.0015970863 ADD Bole Intl, Ethiopia
0.0015961455 TXL Tegel, Germany
0.0015745706 SLC Salt Lake City Intl, United States
0.0015634692 PER Perth Intl, Australia
0.0015509683 PPT Faa\\'a International, French Polynesia
0.0015451535 POM Port Moresby Jacksons Intl, Papua New Guinea
0.0015180391 DOH Doha Intl, Qatar
0.0014934272 SHA Hongqiao Intl, China
0.0014930321 URC Diwopu, China
0.001477126 CUN Cancun Intl, Mexico
0.0014692077 AGP Malaga, Spain
0.0014645219 XMN Gaoqi, China
0.0014513539 PDX Portland Intl, United States
0.0014360152 YYC Calgary Intl, Canada
0.0014323759 HIR Honiara International, Solomon Islands
0.0014194452 SCL Arturo Merino Benitez Intl, Chile
0.0013973307 MDW Chicago Midway Intl, United States
0.0013962969 BWI Baltimore Washington Intl, United States
0.0013937281 LGA La Guardia, United States
0.0013935397 GIG Galeao Antonio Carlos Jobim, Brazil
0.0013892419 FAI Fairbanks Intl, United States
0.0013728381 KIX Kansai, Japan
0.0013630928 STN Stansted, United Kingdom
0.0013583123 STL Lambert St Louis Intl, United States
0.0013453537 SAW Sabiha Gokcen, Turkey
0.0013408165 TAO Liuting, China
0.0013310252 CCS Simon Bolivar Intl, Venezuela
0.0013298383 CSX Huanghua, China
0.0013185561 WUH Tianhe, China
0.0013150794 DCA Ronald Reagan Washington Natl, United States
0.0013067722 GVA Geneve Cointrin, Switzerland
0.0012959855 VCP Viracopos, Brazil
0.0012907064 TPA Tampa Intl, United States
0.0012868579 PRG Ruzyne, Czech Republic
0.0012755527 NKG Lukou, China
